No,Hari,Tanggal,Kelas,Mapel,Nama_Mapel,Kehadiran,Status
1,Senin,2026-07-13,X-1,INFORMATIKA,Informatika,H,LULUS
2,Senin,2026-07-13,X-1,MATEMATIKA,Matematika,H,LULUS
3,Senin,2026-07-13,X-1,BAHASA, Bahasa Indonesia,I,TIDAK LULUS
4,Senin,2026-07-13,X-1,BIOLOGI,Biologi,H,LULUS
5,Selasa,2026-07-14,X-1,INFORMATIKA,Informatika,A,TIDAK LULUS
6,Selasa,2026-07-14,X-1,MATEMATIKA,Matematika,H,LULUS
7,Selasa,2026-07-14,X-1,BAHASA, Bahasa Indonesia,H,LULUS
8,Rabu,2026-07-15,X-1,INFORMATIKA,Informatika,H,LULUS
9,Rabu,2026-07-15,X-1,BIOLOGI,Biologi,H,LULUS
10,Rabu,2026-07-15,X-1,MATEMATIKA,Matematika,S,TIDAK LULUS
11,Kamis,2026-07-16,X-1,INFORMATIKA,Informatika,I,TIDAK LULUS
12,Kamis,2026-07-16,X-1,BAHASA, Bahasa Indonesia,H,LULUS
13,Jumat,2026-07-17,X-1,INFORMATIKA,Informatika,H,LULUS
14,Jumat,2026-07-17,X-1,MATEMATIKA,Matematika,H,LULUS
15,Jumat,2026-07-17,X-1,BIOLOGI,Biologi,A,TIDAK LULUS
16,Senin,2026-07-13,X-2,INFORMATIKA,Informatika,H,LULUS
17,Senin,2026-07-13,X-2,MATEMATIKA,Matematika,I,TIDAK LULUS
18,Selasa,2026-07-14,X-2,INFORMATIKA,Informatika,H,LULUS
19,Rabu,2026-07-15,X-2,MATEMATIKA,Matematika,H,LULUS
20,Rabu,2026-07-15,X-2,BAHASA, Bahasa Indonesia,S,TIDAK LULUS
